fold,studyOrig,study,platform,id,condition,rating,rating2,rt,perc_acc,perc_accDR,politically_concordant,real,item_num,crt_acc,demrep,conservative,demrepParty,trump2016,age,gender,white,college,accimp
0,Arechar Pilot,P,Lucid,100206,0,0.40000001,0,0.744,0.644927501678467,0.62559998,,1,124,0,1,0.5,,,37,2,0,1,
0,Arechar Pilot,P,Lucid,100206,0,0.80000001,1,0.731,0.669090926647186,0.63114756,,1,125,0,1,0.5,,,37,2,0,1,
0,Arechar Pilot,P,Lucid,100206,0,0.60000002,1,0.801,0.578102231025696,0.56422764,,1,126,0,1,0.5,,,37,2,0,1,
0,Arechar Pilot,P,Lucid,100206,0,0.40000001,0,1.247,0.660869598388672,0.69430894,,1,127,0,1,0.5,,,37,2,0,1,
0,Arechar Pilot,P,Lucid,100211,0,0,0,2.757,0.290579706430435,0.25882354,,0,101,0,0,0.5,,,47,1,1,1,
0,Arechar Pilot,P,Lucid,100211,0,0,0,3.008,0.289130449295044,0.26710528,,0,103,0,0,0.5,,,47,1,1,1,
0,Arechar Pilot,P,Lucid,100211,0,0,0,2.628,0.211552336812019,0.1881579,,0,104,0,0,0.5,,,47,1,1,1,
0,Arechar Pilot,P,Lucid,100211,0,0,0,3.636,0.32974910736084,0.32077923,,0,109,0,0,0.5,,,47,1,1,1,
0,Arechar Pilot,P,Lucid,100211,0,0,0,5.255,0.228673845529556,0.21960784,,1,112,0,0,0.5,,,47,1,1,1,
0,Arechar Pilot,P,Lucid,100211,0,0,0,1.784,0.267148017883301,0.25430465,,1,114,0,0,0.5,,,47,1,1,1,
0,Arechar Pilot,P,Lucid,100211,0,0,0,3.849,0.605818152427673,0.56423843,,1,116,0,0,0.5,,,47,1,1,1,
0,Arechar Pilot,P,Lucid,100211,0,0,0,2.245,0.419565200805664,0.39215687,,1,118,0,0,0.5,,,47,1,1,1,
0,Arechar Pilot,P,Lucid,100211,0,0,0,5.397,0.576811611652374,0.57647061,,1,119,0,0,0.5,,,47,1,1,1,
0,Arechar Pilot,P,Lucid,100211,0,0,0,4.017,0.60945451259613,0.62384105,,1,120,0,0,0.5,,,47,1,1,1,
0,Arechar Pilot,P,Lucid,100211,0,0,0,3.084,0.569175601005554,0.59215689,,1,121,0,0,0.5,,,47,1,1,1,
0,Arechar Pilot,P,Lucid,100211,0,0,0,3.044,0.644927501678467,0.66092718,,1,124,0,0,0.5,,,47,1,1,1,
0,Arechar Pilot,P,Lucid,100211,0,0,0,1.801,0.669090926647186,0.69934642,,1,125,0,0,0.5,,,47,1,1,1,
0,Arechar Pilot,P,Lucid,100211,0,0,0,1.675,0.578102231025696,0.58940399,,1,126,0,0,0.5,,,47,1,1,1,
0,Arechar Pilot,P,Lucid,100211,0,0,0,2.31,0.660869598388672,0.63398695,,1,127,0,0,0.5,,,47,1,1,1,
0,Arechar Pilot,P,Lucid,100218,0,1,1,2.404,0.290579706430435,0.25882354,,0,101,0,0,0.5,,,40,2,0,0,
0,Arechar Pilot,P,Lucid,100218,0,1,1,2.662,0.301075279712677,0.29090908,,0,102,0,0,0.5,,,40,2,0,0,
0,Arechar Pilot,P,Lucid,100218,0,1,1,4.975,0.289130449295044,0.26710528,,0,103,0,0,0.5,,,40,2,0,0,
0,Arechar Pilot,P,Lucid,100218,0,1,1,5.301,0.211552336812019,0.1881579,,0,104,0,0,0.5,,,40,2,0,0,
0,Arechar Pilot,P,Lucid,100218,0,1,1,3.002,0.210791349411011,0.18543047,,0,106,0,0,0.5,,,40,2,0,0,
0,Arechar Pilot,P,Lucid,100218,0,1,1,5.971,0.268592059612274,0.22913907,,0,108,0,0,0.5,,,40,2,0,0,
0,Arechar Pilot,P,Lucid,100218,0,1,1,2.301,0.32974910736084,0.32077923,,0,109,0,0,0.5,,,40,2,0,0,
0,Arechar Pilot,P,Lucid,100218,0,1,1,7.702,0.278700351715088,0.27058825,,0,110,0,0,0.5,,,40,2,0,0,
0,Arechar Pilot,P,Lucid,100218,0,1,1,3.601,0.228673845529556,0.21960784,,1,112,0,0,0.5,,,40,2,0,0,
0,Arechar Pilot,P,Lucid,100218,0,1,1,5.501,0.267148017883301,0.25430465,,1,114,0,0,0.5,,,40,2,0,0,
